GEOID,median_household_income,share_bach_plus,share_mgmt_prof,vot_personal
36005026100,60357.0,0.39876718824087243,0.23992413466097676,19.071435310267137
36005026300,44709.0,0.1055120437416876,0.21235407122801833,16.414098472879896
36005026400,58307.0,0.1961639058413252,0.24707933740191804,18.744760888177524
36005026500,60495.0,0.08277720739219713,0.25667351129363447,19.09322528842002
36005026601,47266.0,0.1497905027932961,0.25593575418994413,16.87695070099412
36005026602,51442.0,0.1806993553428404,0.2389138503613987,17.606720863679065
36005026701,44750.0,0.11758446395317904,0.21415270018621974,16.42162295140688
36005026702,61494.0,0.13477018956115294,0.17982342248766553,19.250230240994423
36005026900,29140.0,0.11302270011947431,0.3058542413381123,13.251478314021261
36005027300,54096.0,0.12556179775280898,0.23174157303370788,18.055192917766952
36005027401,104811.0,0.2925063588338877,0.27137546468401486,25.13176492289096
36005027402,101667.0,0.36851161456839693,0.23917407513622024,24.751958074483564
36005027700,54482.0,0.16141356255969436,0.2034383954154728,18.119494495713752
36005027900,65000.0,0.20710059171597633,0.19280078895463512,19.791387169848498
36005028100,79886.0,0.37585421412300685,0.1958997722095672,21.94092305815474
36005028300,14194.0,0.1504424778761062,0.14601769911504425,9.248513970180491
36005028500,74965.0,0.4418253248715624,0.3366576004835298,21.254398999084888
36005028600,72857.0,0.3165680473372781,0.33925049309664695,20.953433530983126
36005028700,64127.0,0.22399767576990123,0.2568274259151656,19.658031110665714
36005028800,97424.0,0.309932785660941,0.2419716206123973,24.22995094155266
36005028900,55977.0,0.21022727272727273,0.2711363636363636,18.36641385574926
36005029301,119643.0,0.6128857606930157,0.20682187330806714,26.851169345011375
36005029302,132405.0,0.5431575064551826,0.20103282921431206,28.246962233833937
36005029500,100600.0,0.35568010347057555,0.2563052381978875,24.621728994574777
36005029600,56747.0,0.37676206749252455,0.21999145664246048,18.49230338839339
36005029700,90714.0,0.47278830016782547,0.2047470630544234,23.380657238895385
36005030000,84279.0,0.2394655704008222,0.27558361474086035,22.53612502889824
36005030100,86672.0,0.4356687898089172,0.17388535031847133,22.853828582568415
36005030201,75000.0,0.2185124864277959,0.24429967426710097,21.259360095302558
36005030202,78435.0,0.20074772431729518,0.22464239271781533,21.74074924191553
36005030701,121764.0,0.5706482155863074,0.21576839038601603,27.08812904337752
36005030900,122500.0,0.517939034259509,0.1475586727812247,27.169872525418906
36005031000,142671.0,0.3095940122476752,0.26105692900884553,29.32158273099016
36005031200,124474.0,0.2534869617950273,0.25894481503941785,27.387909203808356
36005031400,111917.0,0.2442817932296432,0.21225983531564502,25.96973909600872
36005031600,78864.0,0.23289902280130292,0.23072747014115091,21.80012364735934
36005031800,98017.0,0.1987242394504416,0.23748773307163887,24.30358045213614
36005032300,101512.0,0.562876740802328,0.22926626480981085,24.73308264339266
36005032400,40955.0,0.12487343908201147,0.22848464394195073,15.709885567377281
36005032600,99962.0,0.26133720930232557,0.24593023255813953,24.54352994750107
36005032800,49422.0,0.10996055226824458,0.21794871794871795,17.257572821501352
36005033000,48750.0,0.13257575757575757,0.1646730462519936,17.139844065222203
36005033201,35400.0,0.24642250788260975,0.22532136793596896,14.6056600283706
36005033202,47557.0,0.16339677891654467,0.15051244509516837,16.92882368280305
36005033500,106597.0,0.37731586082241303,0.26344328965205605,25.344985531650185
36005033601,23453.0,0.08461384953103172,0.20714428257832768,11.888272689583829
36005033602,47398.0,0.20952380952380953,0.22164502164502164,16.90050044386587
36005033700,147543.0,0.426367461430575,0.18478260869565216,29.81802409437364
36005033801,70418.0,0.10429447852760736,0.14016045304388863,20.59972390107421
36005033802,70508.0,0.16804864566058597,0.21890547263681592,20.612883768907306
36005034000,50208.0,0.10773842982949222,0.20835675473112236,17.394262404426268
36005034200,70910.0,0.1785243741765481,0.34782608695652173,20.67156222857356
36005034300,89554.0,0.27238403451995685,0.2777777777777778,23.23068686454068
36005034400,71920.0,0.17010309278350516,0.2737113402061856,20.818258450476446
36005034500,115461.0,0.3193742478941035,0.22695547533092658,26.377717561521884
36005034800,53024.0,0.15698612455630848,0.1792513714101323,17.875401275672015
36005035000,69293.0,0.3158675234799802,0.2713791398912506,20.434510489012503
36005035100,105086.0,0.3325275315605694,0.29196884233145315,25.16471331531937
36005035600,86014.0,0.1677917068466731,0.21745419479267117,22.766911993327263
36005035800,85296.0,0.20146764509673115,0.2752501667778519,22.671689708291858
36005035900,28955.0,0.04967801287948482,0.14259429622815087,13.209346761827787
