GEOID,median_household_income,share_bach_plus,share_mgmt_prof,vot_personal,vot_business,biz_share_pi,vot_mixed
36081070700,127188.0,0.4845201238390093,0.2503869969040248,27.684878735433358,49.95651302539092,0.18375561421096764,31.77741657386656
36081070900,115000.0,0.5013550135501355,0.2567750677506775,26.325005866691445,47.502664217549366,0.18720299348537528,30.2895269049826
36081071100,100625.0,0.5464743589743589,0.3092948717948718,24.62478816449335,44.43467361525895,0.21554577306691003,28.894725238345554
36081071303,96641.0,0.5301521698290438,0.36276535788089426,24.13238604326352,43.54614911717384,0.24440159667162853,28.877140735931903
36081071304,89959.0,0.5201962387571545,0.22485690923957483,23.28315696621307,42.01374134126716,0.1699780752323021,26.466945646261
36081071305,114158.0,0.42201834862385323,0.2831919681495586,26.228456401733144,47.328443674635785,0.20145910884716922,30.47924103441872
36081071306,75560.0,0.4596406160867085,0.25755847119224184,21.338580769414285,38.5048133436917,0.18762576412345672,24.55940827328406
36081071701,57300.0,0.4385708315921438,0.2590890096113665,18.58218876315628,33.53098866200826,0.18845173280029748,21.39931600737985
36081071702,99527.0,0.49534883720930234,0.27325581395348836,24.490069252908285,44.1915774787116,0.19609697482187116,28.353475415416526
36081071900,58606.0,0.2267711962833914,0.28339140534262486,18.792761270846853,33.91096028203091,0.20156673690302945,21.84008731338183
36081072100,100167.0,0.36748786860768945,0.23796192609182532,24.568683739422376,44.33343490409736,0.1770503141870225,28.068039142956398
36081072300,221534.0,0.5500427715996579,0.24807527801539778,36.53757762567054,65.93093616252281,0.18250807454269907,41.902102896574654
36081072900,124250.0,0.44144838212634824,0.30970724191063176,27.36325484147711,49.37615259104529,0.21576831226921095,32.11294063705615
36081073100,166481.0,0.47652838427947597,0.27565502183406115,31.673925756945803,57.154625807226225,0.19739172870313348,36.703605188436676
36081073700,124545.0,0.6168032786885246,0.2535860655737705,27.395719125321204,49.434733393736025,0.1854820200843883,31.48356001249544
36081073900,113609.0,0.5824508320726173,0.24167927382753404,26.16531244129626,47.21450233820498,0.17905641397011485,29.934304901212705
36081074100,92857.0,0.4431891542930923,0.26145900581020015,23.65521396747715,42.68510676812916,0.18973072233757932,27.26576927455156
36081074300,72344.0,0.41573631047315257,0.35752259436469963,20.879534660963152,37.67647874576033,0.24157229268921887,24.93721095370022
