origin_vert,dest_vert,hour,origin_coord,dest_coord,tnc_time_min,tnc_cost,tnc_buffer_time,tnc_buffer_cost,tnc_buffer_distance_mi,flight_time_min,uam_total_cost,uam_total_time,tnc_avg_time,utility_uam,utility_tnc,Puam,Ptnc
LAX,WDHL,8,"(33.94417072663332, -118.40248449470265)","(34.18739486189113, -118.64985539684565)",44.516666666666666,78,9.4,6.977117875280394,2.7908471501121577,15,66.9771178752804,36.9,48,-8.54271178752804,-10.200000000000001,0.839873641891804,0.16012635810819592
LAX,WDHL,6,"(33.94417072663332, -118.40248449470265)","(34.132677217632455, -118.63630298429729)",44.18333333333333,78,9.45,7.968933314545824,3.1875733258183296,15,67.96893331454582,36.95,48,-8.644393331454584,-10.200000000000001,0.8257220343666691,0.1742779656333309
LAX,DTLA,6,"(33.94417072663332, -118.40248449470265)","(34.07862094065011, -118.23252382929016)",30.983333333333334,50,10.283333333333333,7.889161537849445,3.155664615139778,10,37.889161537849446,32.78333333333333,35,-5.428082820451611,-6.75,0.7895004983984941,0.21049950160150593
LAX,HWD,7,"(33.94417072663332, -118.40248449470265)","(34.12043846378093, -118.39212084478322)",42.3,57,20.533333333333335,10.53027740591263,4.212110962365052,10,43.53027740591263,43.03333333333333,45,-6.504694407257929,-7.95,0.809274908561676,0.19072509143832395
LAX,LGB,8,"(33.94417072663332, -118.40248449470265)","(33.8197880925056, -118.18715048713102)",21.733333333333334,62,6.233333333333333,5.20949370763746,2.083797483054984,15,56.20949370763746,33.733333333333334,34,-7.307616037430413,-7.9,0.6439119502628947,0.35608804973710523
LAX,ANH,5,"(33.94417072663332, -118.40248449470265)","(33.81963235244195, -117.87143362668198)",42.43333333333333,77,12.5,6.956233759346782,2.7824935037387126,15,93.95623375934679,40.0,52,-11.39562337593468,-10.3,0.25056083979529326,0.7494391602047067
LAX,HWD,12,"(33.94417072663332, -118.40248449470265)","(34.13702470640193, -118.3141520188281)",42.61666666666667,57,17.05,8.024914755966437,3.2099659023865748,10,41.024914755966435,39.55,45,-6.0799914755966435,-7.95,0.8664592638081905,0.13354073619180956
LAX,PSD,14,"(33.94417072663332, -118.40248449470265)","(34.12875039411073, -118.60833010146001)",48.3,57,40.63333333333333,10.839965852607401,4.33598634104296,10,49.8399658526074,63.13333333333333,47,-8.140663251927407,-8.05,0.47734970001867966,0.5226502999813204
LAX,ANH,10,"(33.94417072663332, -118.40248449470265)","(33.79177312280548, -117.9293824015962)",42.5,77,8.8,3.8272053969342896,1.5308821587737158,15,90.82720539693429,36.3,52,-10.89772053969343,-10.3,0.3548653713494353,0.6451346286505647
LAX,HWD,4,"(33.94417072663332, -118.40248449470265)","(34.089559526241345, -118.32269260945685)",38.36666666666667,57,3.1333333333333333,0.7548597976603253,0.3019439190641301,10,33.75485979766032,25.633333333333333,45,-4.657152646432699,-7.95,0.9641826161157803,0.035817383884219706
