time,origin,destination,count,duration,energy_consumption,tour_length,cluster_id,tour_revenue,revenue,per_flight_revenue,tour_sequence,served,p,q,p2,q2
260.0,4,0,1,10,15.0,1,29,41.22670065423043,41.22670065423043,41.22670065423043,UVS-LAX,1,60.0,75.0,60.0,72.5
260.0,6,0,1,10,15.0,1,28,66.68724034195947,66.68724034195947,66.68724034195947,HWD-LAX,1,65.0,85.0,70.0,70.0
260.0,7,0,1,10,15.0,1,6,78.84434218333769,78.84434218333769,78.84434218333769,PSD-LAX,1,45.0,45.0,30.0,75.0
265.0,4,0,1,10,15.0,1,31,82.45340130846085,82.45340130846085,82.45340130846085,UVS-LAX,1,40.0,40.0,25.0,35.0
265.0,2,0,1,15,20.0,1,1,102.16775460979474,102.16775460979474,102.16775460979474,LGB-LAX,1,47.5,47.5,32.5,75.0
265.0,1,2,1,20,30.0,2,0,175.83628673577186,,,DTLA-LAX-LGB,1,25.0,37.5,37.5,42.5
270.0,6,0,1,10,15.0,1,38,133.37448068391893,133.37448068391893,133.37448068391893,HWD-LAX,1,40.0,65.0,50.0,62.5
270.0,1,0,1,10,15.0,1,33,124.7524094308745,124.7524094308745,124.7524094308745,DTLA-LAX,1,25.0,35.0,20.0,50.0
275.0,1,0,1,10,15.0,1,14,124.7524094308745,124.7524094308745,124.7524094308745,DTLA-LAX,1,20.0,35.0,20.0,57.5
275.0,2,0,1,15,20.0,1,39,51.08387730489737,51.08387730489737,51.08387730489737,LGB-LAX,1,55.0,55.0,40.0,95.0
275.0,0,5,1,15,20.0,1,11,88.25604705960882,88.25604705960882,88.25604705960882,LAX-ANH,1,60.0,70.0,70.0,72.5
280.0,1,0,1,10,15.0,1,16,93.56430707315587,93.56430707315587,93.56430707315587,DTLA-LAX,1,37.5,37.5,22.5,67.5
280.0,2,0,1,15,20.0,1,20,204.33550921958948,204.33550921958948,204.33550921958948,LGB-LAX,1,57.5,85.0,70.0,85.0
280.0,6,0,1,10,15.0,1,15,33.34362017097973,33.34362017097973,33.34362017097973,HWD-LAX,1,70.0,72.5,57.5,82.5
285.0,4,0,1,10,15.0,1,3,41.22670065423043,41.22670065423043,41.22670065423043,UVS-LAX,1,60.0,60.0,45.0,45.0
285.0,8,0,1,10,15.0,1,13,51.04884363573325,51.04884363573325,51.04884363573325,BVH-LAX,1,47.5,47.5,32.5,70.0
285.0,7,0,1,10,15.0,1,2,39.422171091668844,39.422171091668844,39.422171091668844,PSD-LAX,1,30.0,42.5,27.5,50.0
290.0,6,0,1,10,15.0,1,25,66.68724034195947,66.68724034195947,66.68724034195947,HWD-LAX,1,45.0,60.0,45.0,45.0
290.0,2,0,1,15,20.0,1,17,102.16775460979474,102.16775460979474,102.16775460979474,LGB-LAX,1,35.0,35.0,35.0,35.0
290.0,1,6,1,20,30.0,2,21,226.9387877570748,,,DTLA-LAX-HWD,1,20.0,25.0,25.0,37.5
295.0,6,0,1,10,15.0,1,23,100.0308605129392,100.0308605129392,100.0308605129392,HWD-LAX,1,20.0,35.0,20.0,35.0
295.0,7,6,1,20,30.0,2,10,212.21882286725662,,,PSD-LAX-HWD,1,22.5,60.0,60.0,70.0
295.0,1,0,1,10,15.0,1,34,124.7524094308745,124.7524094308745,124.7524094308745,DTLA-LAX,1,45.0,47.5,32.5,45.0
300.0,1,0,1,10,15.0,1,7,93.56430707315587,93.56430707315587,93.56430707315587,DTLA-LAX,1,70.0,70.0,55.0,55.0
300.0,4,5,1,25,35.0,2,19,129.48274771383925,,,UVS-LAX-ANH,1,20.0,20.0,20.0,42.5
300.0,8,0,1,10,15.0,1,36,76.57326545359987,76.57326545359987,76.57326545359987,BVH-LAX,1,32.5,40.0,25.0,57.5
300.0,5,0,1,15,20.0,1,11,353.0241882384353,353.0241882384353,353.0241882384353,ANH-LAX,1,52.5,52.5,52.5,52.5
300.0,2,0,1,15,20.0,1,35,51.08387730489737,51.08387730489737,51.08387730489737,LGB-LAX,1,57.5,62.5,62.5,65.0
